INDEX;TIME_CUTTING;accuracy;precision;recall;F1;matrix;percentage_matrix;accuracy_validation;precision_validation;recall_validation;F1_validation;matrix_validation;percentage_matrix_validation;feature_importance
0;86400;97.72727272727273;99.56989247311829;91.14173228346458;95.16957862281605;[[1558, 2], [45, 463]];[[0.9987179487179487, 0.001282051282051282], [0.08858267716535433, 0.9114173228346457]];91.56626506024097;77.94117647058823;71.23655913978494;74.43820224719101;[[1711, 75], [107, 265]];[[0.958006718924972, 0.041993281075028], [0.28763440860215056, 0.7123655913978495]];{'packet_value': 0.0, 'packet_value_x': 0.022703200578689575, 'packet_value_y': 0.025673208758234978, 'bytes_value': 0.0, 'bytes_value_x': 0.036932118237018585, 'bytes_value_y': 0.059022825211286545, 'duration_value': 0.048457108438014984, 'duration_value_x': 0.1410326361656189, 'duration_value_y': 0.017174413427710533, 'difftimes_value': 0.0, 'difftimes_value_x': 0.01877858117222786, 'difftimes_value_y': 0.010634167119860649, 'packet_mean': 0.01777138188481331, 'packet_std': 0.04013293236494064, 'packet_skewness': 0.0506710521876812, 'packet_kurtosis': 0.0, 'bytes_mean': 0.0470113642513752, 'bytes_std': 0.02680256962776184, 'bytes_skewness': 0.011652592569589615, 'bytes_kurtosis': 0.007349316030740738, 'duration_mean': 0.030631186440587044, 'duration_std': 0.00765584409236908, 'duration_skewness': 0.030104082077741623, 'duration_kurtosis': 0.01060198899358511, 'difftimes_mean': 0.009470770135521889, 'difftimes_std': 0.05546201393008232, 'difftimes_skewness': 0.01135450042784214, 'difftimes_kurtosis': 0.013083996251225471, 'max_power': 0.01212620735168457, 'max_frequency': 0.025483734905719757, 'min_power': 0.02158304676413536, 'min_frequency': 0.007650505751371384, 'spectral_energy': 0.022041121497750282, 'spectral_entropy': 0.01017583068460226, 'spectral_kurtosis': 0.03275498375296593, 'spectral_skewness': 0.0073813991621136665, 'spectral_rolloff': 0.016476381570100784, 'spectral_cetroid': 0.05385161191225052, 'spectral_spread': 0.0, 'spectral_slope': 0.006058222148567438, 'spectral_crest': 0.0, 'spectral_flux': 0.01941206119954586, 'spectral_bandwidth': 0.014841186814010143}
0;43200;97.63528876762165;99.07235621521335;91.91049913941481;95.35714285714286;[[1613, 5], [47, 534]];[[0.9969097651421508, 0.0030902348578491965], [0.08089500860585198, 0.919104991394148]];91.13300492610837;82.55813953488372;67.29857819905213;74.15143603133158;[[1751, 60], [138, 284]];[[0.9668691330756488, 0.03313086692435119], [0.32701421800947866, 0.6729857819905213]];{'packet_value': 0.0, 'packet_value_x': 0.031099757179617882, 'packet_value_y': 0.024233298376202583, 'bytes_value': 0.0, 'bytes_value_x': 0.030278731137514114, 'bytes_value_y': 0.06458089500665665, 'duration_value': 0.040784478187561035, 'duration_value_x': 0.11990747600793839, 'duration_value_y': 0.014578883536159992, 'difftimes_value': 0.0, 'difftimes_value_x': 0.015999289229512215, 'difftimes_value_y': 0.003991489764302969, 'packet_mean': 0.014241881668567657, 'packet_std': 0.04359416663646698, 'packet_skewness': 0.038843728601932526, 'packet_kurtosis': 0.0029955704230815172, 'bytes_mean': 0.055887579917907715, 'bytes_std': 0.015749087557196617, 'bytes_skewness': 0.012041083537042141, 'bytes_kurtosis': 0.0047941748052835464, 'duration_mean': 0.03057876043021679, 'duration_std': 0.005679270718246698, 'duration_skewness': 0.03595834970474243, 'duration_kurtosis': 0.01140366867184639, 'difftimes_mean': 0.004741037264466286, 'difftimes_std': 0.05007719621062279, 'difftimes_skewness': 0.004105274099856615, 'difftimes_kurtosis': 0.006826146971434355, 'max_power': 0.017319489270448685, 'max_frequency': 0.038748543709516525, 'min_power': 0.04308214411139488, 'min_frequency': 0.002926034387201071, 'spectral_energy': 0.01683366857469082, 'spectral_entropy': 0.00879170373082161, 'spectral_kurtosis': 0.05379429832100868, 'spectral_skewness': 0.004073922522366047, 'spectral_rolloff': 0.023070307448506355, 'spectral_cetroid': 0.08475960791110992, 'spectral_spread': 0.00387439108453691, 'spectral_slope': 0.0016392326215282083, 'spectral_crest': 0.00294290017336607, 'spectral_flux': 0.008969658985733986, 'spectral_bandwidth': 0.006202798802405596}
0;21600;97.83643444396365;99.1869918699187;93.12977099236642;96.06299212598425;[[1651, 5], [45, 610]];[[0.9969806763285024, 0.0030193236714975845], [0.06870229007633588, 0.9312977099236641]];91.27643504531721;80.3883495145631;76.10294117647058;78.18696883852692;[[2003, 101], [130, 414]];[[0.9519961977186312, 0.04800380228136882], [0.23897058823529413, 0.7610294117647058]];{'packet_value': 0.0, 'packet_value_x': 0.035929735749959946, 'packet_value_y': 0.03513755649328232, 'bytes_value': 0.0, 'bytes_value_x': 0.03866536542773247, 'bytes_value_y': 0.06815140694379807, 'duration_value': 0.040577083826065063, 'duration_value_x': 0.11196183413267136, 'duration_value_y': 0.024656029418110847, 'difftimes_value': 0.0, 'difftimes_value_x': 0.013326759450137615, 'difftimes_value_y': 0.012184655293822289, 'packet_mean': 0.014655491337180138, 'packet_std': 0.04752613604068756, 'packet_skewness': 0.04741266369819641, 'packet_kurtosis': 0.0, 'bytes_mean': 0.04535771161317825, 'bytes_std': 0.021323224529623985, 'bytes_skewness': 0.010523464530706406, 'bytes_kurtosis': 0.0, 'duration_mean': 0.027818135917186737, 'duration_std': 0.007632037159055471, 'duration_skewness': 0.023010600358247757, 'duration_kurtosis': 0.016451936215162277, 'difftimes_mean': 0.013547621667385101, 'difftimes_std': 0.053673308342695236, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.00974893569946289, 'max_power': 0.01801430433988571, 'max_frequency': 0.026941096410155296, 'min_power': 0.07449963688850403, 'min_frequency': 0.0, 'spectral_energy': 0.02945021539926529, 'spectral_entropy': 0.011082322336733341, 'spectral_kurtosis': 0.026504427194595337, 'spectral_skewness': 0.006530021317303181, 'spectral_rolloff': 0.011925588361918926, 'spectral_cetroid': 0.04907022416591644, 'spectral_spread': 0.005500784143805504, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.014014238491654396, 'spectral_bandwidth': 0.007195483427494764}
0;14400;97.92703150912106;98.14814814814815;94.90358126721763;96.49859943977592;[[1673, 13], [37, 689]];[[0.9922894424673784, 0.00771055753262159], [0.05096418732782369, 0.9490358126721763]];90.07194244604317;75.40983606557377;78.49829351535837;76.92307692307692;[[2044, 150], [126, 460]];[[0.9316317228805834, 0.06836827711941659], [0.2150170648464164, 0.7849829351535836]];{'packet_value': 0.0, 'packet_value_x': 0.047676630318164825, 'packet_value_y': 0.03633776307106018, 'bytes_value': 0.0, 'bytes_value_x': 0.03460249304771423, 'bytes_value_y': 0.0548284649848938, 'duration_value': 0.07279445230960846, 'duration_value_x': 0.13176122307777405, 'duration_value_y': 0.01874040812253952, 'difftimes_value': 0.0, 'difftimes_value_x': 0.014230001717805862, 'difftimes_value_y': 0.01650104485452175, 'packet_mean': 0.01975904405117035, 'packet_std': 0.04029959440231323, 'packet_skewness': 0.027602214366197586, 'packet_kurtosis': 0.0, 'bytes_mean': 0.05673974007368088, 'bytes_std': 0.04401623085141182, 'bytes_skewness': 0.008430445566773415, 'bytes_kurtosis': 0.009710575453937054, 'duration_mean': 0.028422804549336433, 'duration_std': 0.009400553070008755, 'duration_skewness': 0.014298053458333015, 'duration_kurtosis': 0.016099033877253532, 'difftimes_mean': 0.014100860804319382, 'difftimes_std': 0.028911320492625237, 'difftimes_skewness': 0.007482355460524559, 'difftimes_kurtosis': 0.010268964804708958, 'max_power': 0.01268920861184597, 'max_frequency': 0.020574169233441353, 'min_power': 0.04980514571070671, 'min_frequency': 0.0, 'spectral_energy': 0.027078820392489433, 'spectral_entropy': 0.009991828352212906, 'spectral_kurtosis': 0.027390234172344208, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.01504561398178339, 'spectral_cetroid': 0.053052786737680435, 'spectral_spread': 0.0, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.014107662253081799, 'spectral_bandwidth': 0.007250247057527304}
0;7200;97.35073151443258;97.79220779220779;93.7733499377335;95.74062301335029;[[1709, 17], [50, 753]];[[0.9901506373117034, 0.009849362688296639], [0.062266500622665005, 0.937733499377335]];91.04193138500636;78.45070422535211;81.19533527696792;79.79942693409743;[[2309, 153], [129, 557]];[[0.9378554021121039, 0.062144597887896016], [0.1880466472303207, 0.8119533527696793]];{'packet_value': 0.0, 'packet_value_x': 0.037314753979444504, 'packet_value_y': 0.048728786408901215, 'bytes_value': 0.0, 'bytes_value_x': 0.04368242248892784, 'bytes_value_y': 0.07310418039560318, 'duration_value': 0.04045211151242256, 'duration_value_x': 0.17766812443733215, 'duration_value_y': 0.021040664985775948, 'difftimes_value': 0.0, 'difftimes_value_x': 0.020396091043949127, 'difftimes_value_y': 0.009845942258834839, 'packet_mean': 0.028943363577127457, 'packet_std': 0.04215794801712036, 'packet_skewness': 0.04455110803246498, 'packet_kurtosis': 0.0, 'bytes_mean': 0.06988394260406494, 'bytes_std': 0.0, 'bytes_skewness': 0.012135526165366173, 'bytes_kurtosis': 0.011340080760419369, 'duration_mean': 0.04426164925098419, 'duration_std': 0.015084461309015751, 'duration_skewness': 0.018050488084554672, 'duration_kurtosis': 0.008050821721553802, 'difftimes_mean': 0.006073388271033764, 'difftimes_std': 0.03620357811450958, 'difftimes_skewness': 0.0071898167952895164, 'difftimes_kurtosis': 0.006213427055627108, 'max_power': 0.010819182731211185, 'max_frequency': 0.01921341009438038, 'min_power': 0.014323271811008453, 'min_frequency': 0.004465166013687849, 'spectral_energy': 0.018960433080792427, 'spectral_entropy': 0.006438496522605419, 'spectral_kurtosis': 0.02315262332558632, 'spectral_skewness': 0.005203647073358297, 'spectral_rolloff': 0.012284412048757076, 'spectral_cetroid': 0.034761734306812286, 'spectral_spread': 0.004710957407951355, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.01367560401558876, 'spectral_bandwidth': 0.009618408977985382}
0;3600;97.82118707738543;99.03614457831326;94.26605504587155;96.59224441833136;[[1782, 8], [50, 822]];[[0.9955307262569832, 0.004469273743016759], [0.05733944954128441, 0.9426605504587156]];92.33706026724843;81.87001140250855;85.47619047619047;83.63424577751893;[[2668, 159], [122, 718]];[[0.9437566324725858, 0.05624336752741422], [0.14523809523809525, 0.8547619047619047]];{'packet_value': 0.0, 'packet_value_x': 0.04153602197766304, 'packet_value_y': 0.04420267045497894, 'bytes_value': 0.0, 'bytes_value_x': 0.03645196184515953, 'bytes_value_y': 0.08005262911319733, 'duration_value': 0.05794980004429817, 'duration_value_x': 0.24010492861270905, 'duration_value_y': 0.01769378036260605, 'difftimes_value': 0.0, 'difftimes_value_x': 0.020130444318056107, 'difftimes_value_y': 0.005830572918057442, 'packet_mean': 0.020192716270685196, 'packet_std': 0.03724163770675659, 'packet_skewness': 0.007560150697827339, 'packet_kurtosis': 0.0026754781138151884, 'bytes_mean': 0.10058296471834183, 'bytes_std': 0.019854679703712463, 'bytes_skewness': 0.01587298884987831, 'bytes_kurtosis': 0.0029381250496953726, 'duration_mean': 0.03525037690997124, 'duration_std': 0.0054955012165009975, 'duration_skewness': 0.01327243261039257, 'duration_kurtosis': 0.005558758974075317, 'difftimes_mean': 0.003911214414983988, 'difftimes_std': 0.020111270248889923, 'difftimes_skewness': 0.005371493753045797, 'difftimes_kurtosis': 0.00369208469055593, 'max_power': 0.008123657666146755, 'max_frequency': 0.02119237743318081, 'min_power': 0.014989937655627728, 'min_frequency': 0.0035552119370549917, 'spectral_energy': 0.013730345293879509, 'spectral_entropy': 0.004129404667764902, 'spectral_kurtosis': 0.017544038593769073, 'spectral_skewness': 0.002522338880226016, 'spectral_rolloff': 0.01596958376467228, 'spectral_cetroid': 0.03532007336616516, 'spectral_spread': 0.0034799627028405666, 'spectral_slope': 0.003525257110595703, 'spectral_crest': 0.002781023969873786, 'spectral_flux': 0.0050509171560406685, 'spectral_bandwidth': 0.004551224410533905}
0;1800;97.98498617147372;98.61286254728878;95.1338199513382;96.84210526315789;[[1698, 11], [40, 782]];[[0.9935634874195436, 0.006436512580456407], [0.04866180048661801, 0.9513381995133819]];92.33128834355828;84.76936466492603;88.62602365787079;86.65480427046263;[[2638, 175], [125, 974]];[[0.9377888375399929, 0.06221116246000711], [0.11373976342129208, 0.8862602365787079]];{'packet_value': 0.0, 'packet_value_x': 0.036258213222026825, 'packet_value_y': 0.041614778339862823, 'bytes_value': 0.0, 'bytes_value_x': 0.035908292979002, 'bytes_value_y': 0.06259115785360336, 'duration_value': 0.030565407127141953, 'duration_value_x': 0.19382375478744507, 'duration_value_y': 0.021699490025639534, 'difftimes_value': 0.0, 'difftimes_value_x': 0.017573468387126923, 'difftimes_value_y': 0.010556435212492943, 'packet_mean': 0.01890459470450878, 'packet_std': 0.05304109305143356, 'packet_skewness': 0.02505316212773323, 'packet_kurtosis': 0.006737129297107458, 'bytes_mean': 0.06810736656188965, 'bytes_std': 0.03061351366341114, 'bytes_skewness': 0.012030218727886677, 'bytes_kurtosis': 0.010367030277848244, 'duration_mean': 0.03401592746376991, 'duration_std': 0.010505643673241138, 'duration_skewness': 0.0271629486232996, 'duration_kurtosis': 0.007957320660352707, 'difftimes_mean': 0.012165098451077938, 'difftimes_std': 0.0250712838023901, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.010066062211990356, 'max_power': 0.014477175660431385, 'max_frequency': 0.01864469237625599, 'min_power': 0.03286484628915787, 'min_frequency': 0.008065324276685715, 'spectral_energy': 0.024776214733719826, 'spectral_entropy': 0.008009226061403751, 'spectral_kurtosis': 0.01603628322482109, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.012818212620913982, 'spectral_cetroid': 0.03405230864882469, 'spectral_spread': 0.009477323852479458, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.010650056414306164, 'spectral_bandwidth': 0.007738959509879351}
0;900;97.57600657354149;98.78869448183042;93.62244897959184;96.13621480026194;[[1641, 9], [50, 734]];[[0.9945454545454545, 0.005454545454545455], [0.06377551020408163, 0.9362244897959183]];92.91609353507565;87.26163234172387;88.95800933125972;88.10165575664229;[[2909, 167], [142, 1144]];[[0.9457087126137841, 0.054291287386215865], [0.1104199066874028, 0.8895800933125972]];{'packet_value': 0.0, 'packet_value_x': 0.03890625759959221, 'packet_value_y': 0.04014978185296059, 'bytes_value': 0.0, 'bytes_value_x': 0.03648872673511505, 'bytes_value_y': 0.06319159269332886, 'duration_value': 0.03580164909362793, 'duration_value_x': 0.15761861205101013, 'duration_value_y': 0.019107962027192116, 'difftimes_value': 0.0, 'difftimes_value_x': 0.020881418138742447, 'difftimes_value_y': 0.013687503524124622, 'packet_mean': 0.02369505539536476, 'packet_std': 0.04109794273972511, 'packet_skewness': 0.017349209636449814, 'packet_kurtosis': 0.0, 'bytes_mean': 0.07008916884660721, 'bytes_std': 0.024622688069939613, 'bytes_skewness': 0.014870289713144302, 'bytes_kurtosis': 0.00921611674129963, 'duration_mean': 0.03677382692694664, 'duration_std': 0.011951969936490059, 'duration_skewness': 0.03696144372224808, 'duration_kurtosis': 0.01031044777482748, 'difftimes_mean': 0.0067098005674779415, 'difftimes_std': 0.03921019285917282, 'difftimes_skewness': 0.0058868019841611385, 'difftimes_kurtosis': 0.009967388585209846, 'max_power': 0.016700228676199913, 'max_frequency': 0.017473876476287842, 'min_power': 0.025151405483484268, 'min_frequency': 0.007531807757914066, 'spectral_energy': 0.025181038305163383, 'spectral_entropy': 0.012220053933560848, 'spectral_kurtosis': 0.025931673124432564, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.014229650609195232, 'spectral_cetroid': 0.03955632075667381, 'spectral_spread': 0.0059083071537315845, 'spectral_slope': 0.006666302680969238, 'spectral_crest': 0.0, 'spectral_flux': 0.011169345118105412, 'spectral_bandwidth': 0.007734186947345734}
0;600;97.46300211416491;98.70875179340028;93.09878213802436;95.82172701949861;[[1617, 9], [51, 688]];[[0.9944649446494465, 0.005535055350553505], [0.06901217861975643, 0.9309878213802436]];93.37733272644515;87.12509144111192;91.19448698315466;89.11335578002245;[[2912, 176], [115, 1191]];[[0.9430051813471503, 0.05699481865284974], [0.08805513016845329, 0.9119448698315467]];{'packet_value': 0.0, 'packet_value_x': 0.05013798922300339, 'packet_value_y': 0.04222199693322182, 'bytes_value': 0.0, 'bytes_value_x': 0.040644191205501556, 'bytes_value_y': 0.06533274799585342, 'duration_value': 0.05570550262928009, 'duration_value_x': 0.2181955873966217, 'duration_value_y': 0.017153030261397362, 'difftimes_value': 0.0, 'difftimes_value_x': 0.018303532153367996, 'difftimes_value_y': 0.006672505754977465, 'packet_mean': 0.02208639122545719, 'packet_std': 0.04676950350403786, 'packet_skewness': 0.008584822528064251, 'packet_kurtosis': 0.0, 'bytes_mean': 0.06912895292043686, 'bytes_std': 0.024285295978188515, 'bytes_skewness': 0.011513750068843365, 'bytes_kurtosis': 0.00857585296034813, 'duration_mean': 0.03465746343135834, 'duration_std': 0.011434991843998432, 'duration_skewness': 0.01281681563705206, 'duration_kurtosis': 0.007328531239181757, 'difftimes_mean': 0.004825876094400883, 'difftimes_std': 0.030957933515310287, 'difftimes_skewness': 0.007333013694733381, 'difftimes_kurtosis': 0.00907105766236782, 'max_power': 0.013704226352274418, 'max_frequency': 0.020052563399076462, 'min_power': 0.026732351630926132, 'min_frequency': 0.005327750463038683, 'spectral_energy': 0.01630169153213501, 'spectral_entropy': 0.008434015326201916, 'spectral_kurtosis': 0.01781553588807583, 'spectral_skewness': 0.0041206455789506435, 'spectral_rolloff': 0.011653656139969826, 'spectral_cetroid': 0.030776750296354294, 'spectral_spread': 0.005683801136910915, 'spectral_slope': 0.003982716239988804, 'spectral_crest': 0.0, 'spectral_flux': 0.00637709628790617, 'spectral_bandwidth': 0.005299912765622139}
1;86400;97.43713733075435;97.69392033542978;91.73228346456693;94.61928934010153;[[1549, 11], [42, 466]];[[0.992948717948718, 0.007051282051282051], [0.08267716535433071, 0.9173228346456693]];91.47358665430954;77.01149425287356;72.04301075268818;74.44444444444444;[[1706, 80], [104, 268]];[[0.9552071668533034, 0.04479283314669653], [0.27956989247311825, 0.7204301075268817]];{'packet_value': 0.0, 'packet_value_x': 0.040625300258398056, 'packet_value_y': 0.03003407083451748, 'bytes_value': 0.0, 'bytes_value_x': 0.02943267673254013, 'bytes_value_y': 0.04032331705093384, 'duration_value': 0.056076694279909134, 'duration_value_x': 0.1284579336643219, 'duration_value_y': 0.023079168051481247, 'difftimes_value': 0.0, 'difftimes_value_x': 0.019210495054721832, 'difftimes_value_y': 0.009290022775530815, 'packet_mean': 0.01610841602087021, 'packet_std': 0.04690087214112282, 'packet_skewness': 0.02802865207195282, 'packet_kurtosis': 0.0, 'bytes_mean': 0.03761393204331398, 'bytes_std': 0.034666143357753754, 'bytes_skewness': 0.010025951080024242, 'bytes_kurtosis': 0.0087433448061347, 'duration_mean': 0.029923895373940468, 'duration_std': 0.010246983729302883, 'duration_skewness': 0.0224663857370615, 'duration_kurtosis': 0.024811910465359688, 'difftimes_mean': 0.009867953136563301, 'difftimes_std': 0.05186108499765396, 'difftimes_skewness': 0.010016465559601784, 'difftimes_kurtosis': 0.006076831836253405, 'max_power': 0.010149791836738586, 'max_frequency': 0.024762636050581932, 'min_power': 0.060079175978899, 'min_frequency': 0.0, 'spectral_energy': 0.020008448511362076, 'spectral_entropy': 0.011511514894664288, 'spectral_kurtosis': 0.023267973214387894, 'spectral_skewness': 0.009630491025745869, 'spectral_rolloff': 0.014904838986694813, 'spectral_cetroid': 0.05972345173358917, 'spectral_spread': 0.007036592345684767, 'spectral_slope': 0.008697791025042534, 'spectral_crest': 0.0, 'spectral_flux': 0.018897267058491707, 'spectral_bandwidth': 0.007441591005772352}
